party_size,private_hand_size,total_dealt,total,method,samples,seed,small_shared_hand_cards,small_shared_hand_exact_ability_probability,private_any_character_probability,private_any_ci95_low,private_any_ci95_high,private_all_characters_probability,private_all_ci95_low,private_all_ci95_high,private_mean_capable_characters,equal_budget_pool_cards,equal_budget_pool_ability_probability,pool_ci95_low,pool_ci95_high
4,8,32,14,monte_carlo,10000,20261323,8,0.9400843718022801,1,0.9996159875222334,0.9999999999999999,0.7755,0.7672169391850834,0.7835714699396672,3.7632,32,1,0.9996159875222334,0.9999999999999999
4,8,32,15,monte_carlo,10000,20261323,8,0.9423286008822277,1,0.9996159875222334,0.9999999999999999,0.782,0.7737999448779039,0.7899834720846358,3.7671,32,1,0.9996159875222334,0.9999999999999999
4,8,32,16,monte_carlo,10000,20261323,8,0.9500030423706758,1,0.9996159875222334,0.9999999999999999,0.8081,0.8002638817283872,0.815699489782813,3.8005,32,1,0.9996159875222334,0.9999999999999999
4,8,32,17,monte_carlo,10000,20261323,8,0.9493920155410062,1,0.9996159875222334,0.9999999999999999,0.8065,0.7986400797898584,0.8141245205612707,3.7968,32,1,0.9996159875222334,0.9999999999999999
4,8,32,18,monte_carlo,10000,20261323,8,0.9556674355977833,1,0.9996159875222334,0.9999999999999999,0.8232,0.8155989054317947,0.830552868902577,3.818,32,1,0.9996159875222334,0.9999999999999999
4,8,32,19,monte_carlo,10000,20261323,8,0.9522686883050381,1,0.9996159875222334,0.9999999999999999,0.8157,0.807979777785615,0.8231777567359231,3.8083,32,1,0.9996159875222334,0.9999999999999999
4,8,32,20,monte_carlo,10000,20261323,8,0.9996730212282261,1,0.9996159875222334,0.9999999999999999,0.9989,0.9980311766068111,0.9993856557428735,3.9989,32,1,0.9996159875222334,0.9999999999999999
4,8,32,21,monte_carlo,10000,20261323,8,0.950479831487613,1,0.9996159875222334,0.9999999999999999,0.8148,0.8070658044423696,0.8222924213016284,3.8053,32,1,0.9996159875222334,0.9999999999999999
4,8,32,22,monte_carlo,10000,20261323,8,0.9540765076162584,1,0.9996159875222334,0.9999999999999999,0.8226,0.8149891959184581,0.829963039230887,3.8145,32,1,0.9996159875222334,0.9999999999999999
4,8,32,23,monte_carlo,10000,20261323,8,0.95074394168588,1,0.9996159875222334,0.9999999999999999,0.8099,0.8020909043150146,0.8174710847512656,3.8002,32,1,0.9996159875222334,0.9999999999999999
4,8,32,24,monte_carlo,10000,20261323,8,0.9541597817997666,1,0.9996159875222334,0.9999999999999999,0.825,0.8174282249141821,0.8323221669752695,3.8171,32,1,0.9996159875222334,0.9999999999999999
4,8,32,25,monte_carlo,10000,20261323,8,0.9483716260763657,1,0.9996159875222334,0.9999999999999999,0.8032,0.7952916282008586,0.8108755066326236,3.7902,32,1,0.9996159875222334,0.9999999999999999
4,8,32,26,monte_carlo,10000,20261323,8,0.9515272016441957,1,0.9996159875222334,0.9999999999999999,0.8195,0.8118395309516666,0.8269150850750406,3.8118,32,1,0.9996159875222334,0.9999999999999999
4,8,32,27,monte_carlo,10000,20261323,8,0.9452060098215619,1,0.9996159875222334,0.9999999999999999,0.7935,0.7854540632602892,0.8013205214152618,3.7806,32,1,0.9996159875222334,0.9999999999999999
4,8,32,28,monte_carlo,10000,20261323,8,0.9448026043596593,1,0.9996159875222334,0.9999999999999999,0.7886,0.780487235613033,0.7964911123848,3.7759,32,1,0.9996159875222334,0.9999999999999999
4,8,32,29,monte_carlo,10000,20261323,8,0.9362519322110114,1,0.9996159875222334,0.9999999999999999,0.7646,0.7561840943615501,0.7728126862352156,3.7466,32,1,0.9996159875222334,0.9999999999999999
4,8,32,30,monte_carlo,10000,20261323,8,0.9776544378514233,1,0.9996159875222334,0.9999999999999999,0.9152,0.9095790352671305,0.9205020807713322,3.9143,32,1,0.9996159875222334,0.9999999999999999
4,8,32,31,monte_carlo,10000,20261323,8,0.921167702926423,0.9999,0.9994337165442557,0.999982347780473,0.7228,0.7139424341736706,0.7314864498662366,3.6889,32,1,0.9996159875222334,0.9999999999999999
4,8,32,32,monte_carlo,10000,20261323,8,0.9111576389848143,0.9999,0.9994337165442557,0.999982347780473,0.6925,0.6833829298283696,0.7014692253676902,3.6492,32,1,0.9996159875222334,0.9999999999999999
4,8,32,33,monte_carlo,10000,20261323,8,0.8888642562506631,0.9998,0.9992709889064336,0.9999451522207908,0.6224,0.612852883928303,0.6318531098171396,3.5567,32,1,0.9996159875222334,0.9999999999999999
4,8,32,34,monte_carlo,10000,20261323,8,0.8687516586368412,0.9997,0.9991182482825978,0.9998979696471224,0.5674,0.5576653940167975,0.5770828411011997,3.476,32,1,0.9996159875222334,0.9999999999999999
4,8,32,35,monte_carlo,10000,20261323,8,0.8354316801081779,0.9998,0.9992709889064336,0.9999451522207908,0.4853,0.47551176066456613,0.4950995293022801,3.3457,32,1,0.9996159875222334,0.9999999999999999
4,8,32,36,monte_carlo,10000,20261323,8,0.8039566671802619,0.9989,0.9980311766068111,0.9993856557428735,0.3993,0.3897412464374225,0.4089360936755996,3.2218,32,1,0.9996159875222334,0.9999999999999999
4,8,32,37,monte_carlo,10000,20261323,8,0.7601193706923696,0.9985,0.9975263931899461,0.9990907463697207,0.3144,0.30537292214142603,0.32356962329032085,3.0396,32,1,0.9996159875222334,0.9999999999999999
