hand_size,total,method,ability_probability,can_play_2_cards_probability,can_play_3_cards_probability,can_play_4_cards_probability,can_play_5_cards_probability,highest_available_tier_0_probability,highest_available_tier_2_probability,highest_available_tier_3_probability,highest_available_tier_4_probability,highest_available_tier_5_probability,probability_can_play_at_least_4_cards,five_card_option_given_ability,four_or_five_card_option_given_ability,mean_minimum_cards_given_ability,mean_maximum_cards_given_ability,both_two_and_five_available_probability
10,17,exact,0.9882526877699053,0.7341047412125896,0.9401890839835895,0.7423257584620816,0.3148307819720898,0.011747312230094677,0.024762261331101806,0.21472568617850069,0.433933958288213,0.3148307819720898,0.7487647402603028,0.3185731603549069,0.7576652707618414,2.267300571620025,4.051181821974627,0.20335843278500365
10,18,exact,0.9917367410958363,0.6553143368070015,0.946379416478542,0.7915229492613255,0.3775302417330939,0.008263258904163675,0.016644102204794224,0.17551374178616777,0.42204865537178043,0.3775302417330939,0.7995788971048743,0.3806758649638567,0.8062410758538259,2.3534194165524713,4.170134158134445,0.2105619137920637
10,19,exact,0.9895662193872419,0.574565094313111,0.9464535731286005,0.8325620229676235,0.44084555402785597,0.010433780612758126,0.010307659314063933,0.13793735734242762,0.4004756487028943,0.44084555402785597,0.8413212027307503,0.44549373795402586,0.8501919186890922,2.4380402141898374,4.285269315510893,0.21617840177996894
10,20,exact,0.9999950289583058,0.8887182907233249,0.9428767799952205,0.8657838557974091,0.5033747489420721,0.000004971041694144764,0.013146012237900354,0.10983985358272733,0.37363441419560606,0.5033747489420721,0.8770091631376782,0.503377251251376,0.8770135228084665,2.1125881276403966,4.367244696472242,0.40846885732517546
10,21,exact,0.9890624498677285,0,0.9734386951526425,0.8909686738772894,0.5639099933059395,0.010937550132271542,0,0.08487264452493992,0.3402798120368491,0.5639099933059395,0.9041898053427886,0.5701459936946889,0.914188791075538,3.0162183605275197,4.484334784770227,0
10,22,exact,0.9912862211787435,0,0.9558437920014765,0.9213073571387996,0.6205881110844469,0.008713778821256445,0,0.061239472489252614,0.30945863760504405,0.6205881110844469,0.930046748689491,0.6260433140556543,0.9382222095083372,3.0363168069437787,4.564265523563991,0
10,23,exact,0.9892795831636217,0,0.9277046836278484,0.9315359947027945,0.6751539690120651,0.010720416836378269,0,0.04550955497841836,0.26861605917313824,0.6751539690120651,0.9437700281852034,0.6824703354869481,0.9539972766516791,3.0642982907869634,4.6364676121386275,0
10,24,exact,0.9916367963689502,0,0.8875175044453882,0.946997255734922,0.7237183539533165,0.008363203631049814,0,0.032865752591117084,0.2350526898245166,0.7237183539533165,0.9587710437778332,0.7298220039870813,0.9668570663054652,3.108286842310206,4.6966790702925465,0
10,25,exact,0.9890833039445246,0,0.8386193951098768,0.9491665816172815,0.7682253012378764,0.010916696055475445,0,0.024939088367590376,0.1959189143390578,0.7682253012378764,0.9641442155769342,0.7767043465137334,0.9747856542839902,3.156963461583111,4.751490000797724,0
10,26,exact,0.991458643038664,0,0.7730664102611595,0.9546242580910537,0.8047754414879145,0.00854135696133593,0,0.018018657875354376,0.1686645436753952,0.8047754414879145,0.9734399851633097,0.8117085338238668,0.981826112463824,3.2288006209867683,4.79353464628769,0
